🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=dave
[Step 034] user:dave  loss: 1.536 grad: 6.103 pred: 1.137 reward:  4.55 eps:0.22 exploit regret:    - hn:0.500 hc:0.76 | source_times_of_india | Sarcastic Takedown | Tom Brady's ex-wife Gisele Bündchen deepfake s
[Step 035] user:dave  loss: 1.576 grad: 6.631 pred: 1.057 reward:  4.16 eps:0.22 exploit regret:    - hn:0.479 hc:0.74 | source_wsmv | Sarcastic Takedown | Nashville Department of Emergency Communicatio
[Step 036] user:dave  loss: 4.961 grad:18.097 pred: 0.978 reward: -5.52 eps:0.22 exploit regret:    - hn:0.455 hc:0.72 | source_global_news | Dystopian Warning | Whistleblower warned B.C. casino in 2000 of al
[Step 037] user:dave  loss: 5.268 grad:16.426 pred: 0.929 reward: 10.00 eps:0.22 explore regret:    - hn:0.447 hc:0.72 | source_daily_mail | Sarcastic Takedown | Battle of the beige influencers! Inside the 'm
[Step 038] user:dave  loss: 3.954 grad:13.364 pred: 0.966 reward: -5.28 eps:0.22 exploit regret:    - hn:0.450 hc:0.72 | source_uk_constitutional_law_association | Dystopian Warning | Alex Benn: In Crisis: the ‘Constitutional’ Rig
[Step 039] user:dave  loss: 0.794 grad: 3.855 pred: 0.916 reward:  4.90 eps:0.22 exploit regret:    - hn:0.439 hc:0.71 | source_fox_business | Sarcastic Takedown | Elizabeth Holmes' $4.5B fortune, luxury lifest
[Step 040] user:dave  loss: 0.725 grad: 3.724 pred: 0.860 reward:  3.80 eps:0.22 exploit regret: 6.20 hn:0.425 hc:0.70 | 9news.com.au | Sarcastic Takedown | Aussies lose $8 million to deepfake celebrity 
[Step 041] user:dave  loss: 0.718 grad: 3.756 pred: 0.777 reward:  4.04 eps:0.22 exploit regret:    - hn:0.403 hc:0.68 | wired.com | Sarcastic Takedown | I Loved My OpenClaw AI Agent—Until It Turned o
[Step 042] user:dave  loss: 8.358 grad:24.157 pred: 0.678 reward: 10.00 eps:0.22 exploit regret:    - hn:0.376 hc:0.66 | theguardian.com | Clickbait Shocker | Mysterious bags of ‘hazardous’ materials appea
[Step 043] user:dave  loss: 3.363 grad:14.053 pred: 0.631 reward: -5.45 eps:0.22 exploit regret:    - hn:0.363 hc:0.65 | source_gulf_news | Dystopian Warning | Viral choking, ‘skull breaker’ game: Dubai Pol
[Step 044] user:dave  loss: 3.251 grad:15.253 pred: 0.523 reward: -5.23 eps:0.22 exploit regret:    - hn:0.333 hc:0.63 | source_khaleej_times | Dystopian Warning | Dubai Police issue strong warning against vira
[Step 045] user:dave  loss: 2.900 grad:13.301 pred: 0.520 reward: -5.31 eps:0.22 exploit regret:    - hn:0.333 hc:0.63 | source_business_insider | Dystopian Warning | Milk Crate Challenge: Viral TikTok Trend Is 'D
[Step 046] user:dave  loss: 2.314 grad:10.641 pred: 0.515 reward: -4.80 eps:0.35 exploit regret:    - hn:0.331 hc:0.62 | source_times_of_india | Dystopian Warning | 95% of teens at risk: 5 viral TikTok challenge
[Step 047] user:dave  loss: 0.677 grad: 4.509 pred: 0.362 reward:  4.90 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | nssmag.com | Analytical Deep Dive | Piratecore: the SS26 trend bringing pirates ba
[Step 048] user:dave  loss: 2.118 grad:13.086 pred: 0.319 reward: -4.68 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_the_globe_and_mail | Analytical Deep Dive | Without Question, These Are the 2 Safest Quant
[Step 049] user:dave  loss: 1.054 grad: 5.632 pred: 0.336 reward:  5.95 eps:0.35 explore regret:    - hn:0.000 hc:0.00 | source_morning_brew | Analytical Deep Dive | Anti-consumerist ‘deinfluencing’ trend takes h
[Step 050] user:dave  loss: 1.477 grad: 7.639 pred: 0.355 reward: -5.54 eps:0.35 explore regret:15.54 hn:0.000 hc:0.00 | source_newsx | Dystopian Warning | What is Skull Breaker Challenge? How This Crue
  └─ checkpoint step=50 rolling_reward_50=3.95 mean_regret_so_far=7.51
[Step 051] user:dave  loss: 0.603 grad: 4.573 pred: 0.251 reward:  4.78 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_digitimes | Analytical Deep Dive | China's 'Neuralink rival' raises US$286 millio
[Step 052] user:dave  loss: 2.808 grad:13.786 pred: 0.218 reward:  4.24 eps:0.21 explore regret:    - hn:0.000 hc:0.00 | source_harvard_business_school | Analytical Deep Dive | Jeffrey J. Bussgang - Harvard Business School
[Step 053] user:dave  loss: 1.160 grad: 7.518 pred: 0.267 reward:  7.09 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Microsoft just launched powerful AI 'agents' t
[Step 054] user:dave  loss: 0.368 grad: 4.062 pred: 0.324 reward:  4.51 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_nature | Analytical Deep Dive | A universal molecular control for DNA, mRNA an
[Step 055] user:dave  loss: 2.294 grad:10.695 pred: 0.406 reward:  4.33 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_cepr | Analytical Deep Dive | Addressing Europe’s services dependencies - CE
[Step 056] user:dave  loss: 0.355 grad: 2.453 pred: 0.467 reward:  4.27 eps:0.21 exploit regret:    - hn:0.313 hc:0.61 | source_kuwait_times | Analytical Deep Dive | Desert ruins of Al-Ula: Saudis revive forgotte
[Step 057] user:dave  loss: 2.847 grad:13.708 pred: 0.529 reward:  6.44 eps:0.21 exploit regret:    - hn:0.329 hc:0.62 | source_the_verge | Analytical Deep Dive | Microsoft is turning Windows into an ‘agentic 
[Step 058] user:dave  loss: 2.545 grad:11.804 pred: 0.626 reward:  6.58 eps:0.21 explore regret:    - hn:0.360 hc:0.65 | source_bbc | Analytical Deep Dive | Pride at 50: Rare photos of early marches - BB
[Step 059] user:dave  loss: 5.520 grad:19.328 pred: 0.702 reward: 10.00 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_towards_data_science | Analytical Deep Dive | TDS Newsletter: Vibe Coding Is Great. Until It
[Step 060] user:dave  loss: 1.975 grad: 8.411 pred: 0.790 reward:  4.86 eps:0.21 exploit regret: 5.14 hn:0.407 hc:0.69 | wired.com | Analytical Deep Dive | Best Presidents’ Day Mattress Sales of 2026
[Step 061] user:dave  loss: 5.933 grad:17.602 pred: 0.874 reward: 10.00 eps:0.20 explore regret:    - hn:0.428 hc:0.70 | aol.com | Analytical Deep Dive | Svedka's Super Bowl Ad Debut Descends Into An 
[Step 062] user:dave  loss: 5.179 grad:13.810 pred: 0.983 reward: 10.00 eps:0.20 explore regret:    - hn:0.460 hc:0.73 | source_forbes | Analytical Deep Dive | VC Math Explained To Founders: The High-Stakes
[Step 063] user:dave  loss: 1.681 grad: 4.710 pred: 1.100 reward:  5.80 eps:0.20 exploit regret:    - hn:0.487 hc:0.75 | source_al_jazeera | Analytical Deep Dive | China’s 84 percent retaliatory tariff on US go
[Step 064] user:dave  loss: 1.655 grad: 4.280 pred: 1.165 reward:  4.54 eps:0.20 explore regret:    - hn:0.505 hc:0.76 | source_gamesradar | Analytical Deep Dive | Best retro handheld 2025: my portable picks fo
[Step 065] user:dave  loss: 1.139 grad: 4.668 pred: 1.237 reward:  6.64 eps:0.20 exploit regret:    - hn:0.521 hc:0.77 | source_bitget | Analytical Deep Dive | Fed Payment Network Access Sparks Intense Clas
[Step 066] user:dave  loss: 1.138 grad: 4.766 pred: 1.271 reward:  6.84 eps:0.20 exploit regret:    - hn:0.533 hc:0.78 | source_the_new_indian_express | Analytical Deep Dive | From discipline to digital: How parenting has 
[Step 067] user:dave  loss: 0.905 grad: 4.282 pred: 1.330 reward:  6.17 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_coin_bureau | Analytical Deep Dive | Top 10 Anonymous Crypto Wallets for Ultimate P
[Step 068] user:dave  loss: 1.567 grad: 4.427 pred: 1.355 reward:  7.17 eps:0.20 exploit regret:    - hn:0.552 hc:0.79 | source_nature | Analytical Deep Dive | Multiple historical processes obscure phylogen
[Step 069] user:dave  loss: 1.130 grad: 4.323 pred: 1.367 reward:  5.66 eps:0.20 exploit regret:    - hn:0.555 hc:0.79 | source_the_atlantic | Analytical Deep Dive | The Russian Red Line Washington Won’t Cross—Ye
[Step 070] user:dave  loss: 1.179 grad: 4.424 pred: 1.413 reward:  5.91 eps:0.20 explore regret: 4.09 hn:0.566 hc:0.80 | source_times_of_india | Analytical Deep Dive | Move over, Elon Musk! THIS billionaire has a b
[Step 071] user:dave  loss: 1.184 grad: 4.343 pred: 1.423 reward:  4.82 eps:0.20 exploit regret:    - hn:0.569 hc:0.80 | source_the_wall_street_journal | Analytical Deep Dive | Exclusive | Hedge Funds Are Back on Top After 
[Step 072] user:dave  loss: 1.380 grad: 4.206 pred: 1.360 reward:  7.08 eps:0.20 exploit regret:    - hn:0.556 hc:0.80 | source_business_standard | Analytical Deep Dive | Laptop Repair World - Leading the trend toward
[Step 073] user:dave  loss: 0.955 grad: 3.995 pred: 1.358 reward:  5.16 eps:0.20 exploit regret:    - hn:0.555 hc:0.79 | source_trend_hunter | Analytical Deep Dive | Retro-Inspired Smartphone Gaming Controllers -
[Step 074] user:dave  loss: 0.844 grad: 3.931 pred: 1.339 reward:  5.16 eps:0.19 exploit regret:    - hn:0.551 hc:0.79 | source_pr_newswire | Analytical Deep Dive | Skywork has launched "Skywork Desktop" globall
[Step 075] user:dave  loss: 0.738 grad: 3.722 pred: 1.323 reward:  5.99 eps:0.19 explore regret:    - hn:0.547 hc:0.79 | source_paste_magazine | Analytical Deep Dive | 5 More Delicious Graphic Food Novels - Paste M
[Step 076] user:dave  loss: 0.817 grad: 4.094 pred: 1.295 reward:  4.52 eps:0.19 exploit regret:    - hn:0.540 hc:0.78 | realtor.com | Analytical Deep Dive | Miami Overtakes New York as the Major U.S. Cit
[Step 077] user:dave  loss: 0.577 grad: 3.357 pred: 1.264 reward:  6.63 eps:0.19 exploit regret:    - hn:0.532 hc:0.78 | source_coindesk | Analytical Deep Dive | First Mover: Bitcoin Meets 'Torrent' as Lowly 
[Step 078] user:dave  loss: 0.596 grad: 3.354 pred: 1.229 reward:  5.49 eps:0.19 explore regret:    - hn:0.524 hc:0.77 | source_good_housekeeping | Analytical Deep Dive | This trainer trend needs to be on your fashion
[Step 079] user:dave  loss: 0.720 grad: 3.566 pred: 1.188 reward:  4.26 eps:0.19 explore regret:    - hn:0.513 hc:0.77 | source_book_riot | Analytical Deep Dive | New Mystery, Thriller, and True Crime Out This
[Step 080] user:dave  loss: 1.847 grad:10.891 pred: 1.149 reward:  5.42 eps:0.19 exploit regret: 4.58 hn:0.503 hc:0.76 | source_china_daily | Analytical Deep Dive | Europe lurching toward strategic autonomy? - C
[Step 081] user:dave  loss: 0.434 grad: 2.402 pred: 1.128 reward:  6.63 eps:0.19 exploit regret:    - hn:0.498 hc:0.76 | androidauthority.com | Analytical Deep Dive | The Galaxy S26 Plus and S26 Ultra have nothing
[Step 082] user:dave  loss:14.192 grad:41.397 pred: 1.099 reward: 10.00 eps:0.19 exploit regret:    - hn:0.490 hc:0.75 | source_yahoo | Analytical Deep Dive | Jessica Chastain's Apple TV Thriller 'The Sava
[Step 083] user:dave  loss: 0.380 grad: 1.033 pred: 1.092 reward:  4.43 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_tech_wire_asia | Analytical Deep Dive | OpenAI launches GPT-5 in August, plus potentia
[Step 084] user:dave  loss: 4.344 grad:32.517 pred: 1.090 reward:  7.14 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_business_today | Analytical Deep Dive | Samsung employees accidentally leaked company 
[Step 085] user:dave  loss: 0.139 grad: 0.779 pred: 1.083 reward:  5.78 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_silicon_republic | Analytical Deep Dive | Can OpenAI’s Sora 2-powered social media app r
[Step 086] user:dave  loss:18.359 grad:67.058 pred: 1.078 reward: 10.00 eps:0.19 exploit regret:    - hn:0.478 hc:0.74 | source_venturebeat | Analytical Deep Dive | Salesforce rolls out new Slackbot AI agent as 
[Step 087] user:dave  loss: 4.132 grad:27.111 pred: 1.063 reward:  5.19 eps:0.18 exploit regret:    - hn:0.475 hc:0.74 | source_the_verge | Analytical Deep Dive | OpenAI’s new ChatGPT Agent can control an enti
[Step 088] user:dave  loss: 4.089 grad:28.314 pred: 1.060 reward:  6.61 eps:0.18 exploit regret:    - hn:0.474 hc:0.74 | source_tech_xplore | Analytical Deep Dive | Have you given away secrets on ChatGPT? Be car
[Step 089] user:dave  loss: 0.071 grad: 1.266 pred: 1.029 reward:  6.15 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | bestmediainfo.com | Analytical Deep Dive | Why your 2026 consumer will date AI, cuddle pl
[Step 090] user:dave  loss: 0.331 grad: 2.212 pred: 1.020 reward:  5.71 eps:0.18 exploit regret: 4.29 hn:0.465 hc:0.73 | 910news.com | Analytical Deep Dive | Deep Dive: What the future of the Traverse Cit
[Step 091] user:dave  loss: 0.166 grad: 2.921 pred: 0.993 reward:  4.87 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | source_whyy | Analytical Deep Dive | ‘Each other’s safety net’: People’s Kitchen se
[Step 092] user:dave  loss: 2.561 grad:17.860 pred: 0.966 reward:  6.79 eps:0.18 explore regret:    - hn:0.452 hc:0.72 | source_her_world_singapore | Analytical Deep Dive | Here Is What 'Hardcore' Style Looks Like In Si
[Step 093] user:dave  loss: 0.362 grad: 3.848 pred: 0.947 reward:  4.76 eps:0.18 exploit regret:    - hn:0.446 hc:0.72 | allianzgi.com | Analytical Deep Dive | Two ways credit can add relative value as the 
[Step 094] user:dave  loss: 7.386 grad:22.647 pred: 0.916 reward:  7.95 eps:0.18 exploit regret:    - hn:0.441 hc:0.71 | source_pacific_legal_foundation | Analytical Deep Dive | National Review: Progressives Shouldn’t Care A
[Step 095] user:dave  loss: 0.434 grad: 2.482 pred: 0.904 reward:  5.72 eps:0.18 exploit regret:    - hn:0.437 hc:0.71 | source_cnbc | Analytical Deep Dive | Trump's Fed pressure campaign will lead to hig
[Step 096] user:dave  loss: 7.145 grad:22.092 pred: 0.886 reward:  7.44 eps:0.18 exploit regret:    - hn:0.432 hc:0.71 | 9to5mac.com | Analytical Deep Dive | Apple Arcade is adding Oceanhorn 3 and three m
[Step 097] user:dave  loss: 0.566 grad: 3.505 pred: 0.889 reward:  6.69 eps:0.18 exploit regret:    - hn:0.433 hc:0.71 | source_yahoo_finance | Analytical Deep Dive | Trump tariffs live updates: Trump unveils tari
[Step 098] user:dave  loss: 5.466 grad:16.477 pred: 0.924 reward: 10.00 eps:0.18 exploit regret:    - hn:0.443 hc:0.72 | source_digital_camera_world | Analytical Deep Dive | Is Pentax Film Project about to stage a sensat
[Step 099] user:dave  loss:10.888 grad:29.212 pred: 0.919 reward: 10.00 eps:0.18 explore regret:    - hn:0.442 hc:0.71 | source_retro_dodo | Analytical Deep Dive | 10 Best Retro Gaming Books Of 2024 [All Review
[Step 100] user:dave  loss: 5.264 grad:16.000 pred: 0.935 reward: 10.00 eps:0.17 explore regret: 0.00 hn:0.446 hc:0.72 | source_homeland_security_today | Analytical Deep Dive | My Profile - Homeland Security Today
  └─ checkpoint step=100 rolling_reward_50=6.44 mean_regret_so_far=5.56
[Step 101] user:dave  loss: 1.515 grad: 5.674 pred: 1.007 reward:  6.83 eps:0.17 exploit regret:    - hn:0.465 hc:0.73 | androidauthority.com | Analytical Deep Dive | YouTube TV’s new plans explained: Prices, chan
[Step 102] user:dave  loss: 1.435 grad: 5.373 pred: 1.029 reward:  6.40 eps:0.17 exploit regret:    - hn:0.470 hc:0.74 | bbc.com | Analytical Deep Dive | Instagram and YouTube owners built 'addiction 
[Step 103] user:dave  loss: 0.809 grad: 3.627 pred: 1.068 reward:  6.40 eps:0.17 exploit regret:    - hn:0.480 hc:0.74 | source_click2houston | Analytical Deep Dive | Viral social media challenges linked to severe
[Step 104] user:dave  loss: 1.373 grad: 3.969 pred: 1.167 reward:  5.69 eps:0.17 exploit regret:    - hn:0.505 hc:0.76 | source_tom_s_hardware | Analytical Deep Dive | RTX 5090 cable melting claim debunked — Invest
[Step 105] user:dave  loss: 0.839 grad: 3.720 pred: 1.157 reward:  4.76 eps:0.17 exploit regret:    - hn:0.502 hc:0.76 | fox2now.com | Analytical Deep Dive | Pinterest 2026 Trend Report: Nostalgic toys ar
[Step 106] user:dave  loss: 0.820 grad: 3.659 pred: 1.166 reward:  5.11 eps:0.17 exploit regret:    - hn:0.505 hc:0.76 | source_abc_news | Analytical Deep Dive | 2026 global travel trend predictions: Farms, c
[Step 107] user:dave  loss: 0.847 grad: 3.725 pred: 1.147 reward:  6.57 eps:0.17 exploit regret:    - hn:0.501 hc:0.76 | 9to5mac.com | Analytical Deep Dive | DOJ faces investigation over removal of ICE-tr
[Step 108] user:dave  loss: 1.337 grad: 3.994 pred: 1.216 reward:  6.03 eps:0.17 exploit regret:    - hn:0.518 hc:0.77 | source_book_riot | Analytical Deep Dive | The Best Mystery, Thriller, and True Crime Boo
[Step 109] user:dave  loss: 9.538 grad:24.764 pred: 1.182 reward: 10.00 eps:0.17 exploit regret:    - hn:0.510 hc:0.76 | source_movieweb | Analytical Deep Dive | Boneyard Review | A Peppy Mel Gibson Can't Sav
[Step 110] user:dave  loss: 0.993 grad: 3.947 pred: 1.219 reward:  7.18 eps:0.17 exploit regret: 2.82 hn:0.520 hc:0.77 | source_vogue | Analytical Deep Dive | How to Master the Sneaker and Skirt Pairing - 
[Step 111] user:dave  loss: 1.309 grad: 3.880 pred: 1.250 reward:  4.20 eps:0.17 exploit regret:    - hn:0.527 hc:0.78 | source_australian_broadcasting_corporation | Analytical Deep Dive | Whistleblower reveals 'alarming' scale of mone
[Step 112] user:dave  loss: 0.929 grad: 3.708 pred: 1.256 reward:  6.57 eps:0.17 explore regret:    - hn:0.529 hc:0.78 | source_speciality_food_magazine | Analytical Deep Dive | A deep dive into the tinned fish trend - Speci
[Step 113] user:dave  loss: 5.129 grad:15.389 pred: 1.245 reward: -5.05 eps:0.17 explore regret:    - hn:0.527 hc:0.78 | source_mpr_news | Analytical Deep Dive | Can a vibe be intellectual property? A Minneso
[Step 114] user:dave  loss: 8.810 grad:22.162 pred: 1.272 reward: 10.00 eps:0.16 exploit regret:    - hn:0.533 hc:0.78 | wired.com | Analytical Deep Dive | 6 Best Gaming Laptops (2026): Tested and Revie
[Step 115] user:dave  loss: 0.974 grad: 3.659 pred: 1.305 reward:  5.95 eps:0.16 exploit regret:    - hn:0.540 hc:0.79 | breitbart.com | Analytical Deep Dive | 'Allahu Akbar': Terrorism Police Leading Inves
[Step 116] user:dave  loss: 1.192 grad: 4.127 pred: 1.371 reward:  6.81 eps:0.16 exploit regret:    - hn:0.558 hc:0.80 | phys.org | Analytical Deep Dive | New digital state of matter could help build s
[Step 117] user:dave  loss:10.997 grad:25.984 pred: 1.310 reward: 10.00 eps:0.16 exploit regret:    - hn:0.543 hc:0.79 | source_enlit_world | Hype Beast | Transnet BW develops new hybrid grid booster t
[Step 118] user:dave  loss: 1.045 grad: 3.795 pred: 1.336 reward:  4.23 eps:0.16 exploit regret:    - hn:0.549 hc:0.79 | destructoid.com | Analytical Deep Dive | The Jailbreak quest walkthrough in Disney Drea
[Step 119] user:dave  loss: 1.072 grad: 3.774 pred: 1.361 reward:  5.12 eps:0.16 exploit regret:    - hn:0.556 hc:0.80 | eurogamer.net | Analytical Deep Dive | Subnautica and Subnautica: Below Zero are gett
[Step 120] user:dave  loss: 0.928 grad: 3.619 pred: 1.294 reward:  4.84 eps:0.16 exploit regret: 5.16 hn:0.539 hc:0.78 | source_mamavation | Analytical Deep Dive | Sustain Natural Period Underwear PFAS "Forever
[Step 121] user:dave  loss: 8.689 grad:21.168 pred: 1.265 reward: 10.00 eps:0.16 explore regret:    - hn:0.532 hc:0.78 | source_massdevice | Hype Beast | Paradromics raises $33M, wins FDA breakthrough
