🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.694 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=contrarian_chaos
[Step 010] user:contrarian_chaos loss: 1.929 grad: 7.562 pred: 2.178 reward:  7.19 eps:0.24 exploit regret: 2.81 hn:0.719 hc:0.90 | source_times_of_india | Analytical Deep Dive | Navi Mumbai’s first urban agriculture centre s
[Step 011] user:contrarian_chaos loss: 6.310 grad:15.799 pred: 2.264 reward: 10.00 eps:0.24 exploit regret:    - hn:0.732 hc:0.91 | source_south_florida_agent_magazine | Analytical Deep Dive | MIAMI REALTORS® calls out real estate bubble m
[Step 012] user:contrarian_chaos loss: 7.301 grad:20.492 pred: 2.357 reward: 10.00 eps:0.24 explore regret:    - hn:0.745 hc:0.91 | source_frontiers | Analytical Deep Dive | Assessing climate vulnerabilities of urban foo
[Step 013] user:contrarian_chaos loss: 5.104 grad:16.681 pred: 2.402 reward: 10.00 eps:0.24 exploit regret:    - hn:0.751 hc:0.92 | source_florida_museum_of_natural_history | Analytical Deep Dive | This mysterious plant fossil belongs to a fami
[Step 014] user:contrarian_chaos loss: 2.101 grad: 8.294 pred: 2.398 reward:  7.47 eps:0.24 exploit regret:    - hn:0.751 hc:0.92 | source_qa_financial | Analytical Deep Dive | Testing the scanners: Why banks cannot blindly
[Step 015] user:contrarian_chaos loss: 4.627 grad:16.858 pred: 2.486 reward: 10.00 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_nz_transport_agency_waka_kotahi | Analytical Deep Dive | Auckland - Quay Street Cycleway - NZ Transport
[Step 016] user:contrarian_chaos loss: 1.718 grad: 7.654 pred: 2.432 reward:  7.39 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_u_s_chamber_of_commerce | Analytical Deep Dive | Free Grants and Programs for Small Business - 
[Step 017] user:contrarian_chaos loss: 5.188 grad:14.267 pred: 2.436 reward: 10.00 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_the_business_journals | Analytical Deep Dive | The National Observer: Number of international
[Step 018] user:contrarian_chaos loss: 1.139 grad: 4.981 pred: 2.410 reward:  7.22 eps:0.24 explore regret:    - hn:0.000 hc:0.00 | source_dentons | Analytical Deep Dive | Virtual influencers: controversial legal issue
[Step 019] user:contrarian_chaos loss: 1.453 grad: 4.769 pred: 2.450 reward:  7.20 eps:0.24 exploit regret:    - hn:0.758 hc:0.92 | source_omfif | Analytical Deep Dive | Credit Suisse: a failure of regulatory culture
[Step 020] user:contrarian_chaos loss: 5.092 grad:12.959 pred: 2.494 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.763 hc:0.92 | source_nss_g_club | Analytical Deep Dive | Pirate boots: the Fall 2025 fashion trend - ns
[Step 021] user:contrarian_chaos loss: 1.659 grad: 6.401 pred: 2.518 reward:  7.85 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_vogue | Analytical Deep Dive | Brat, bodysuits and bag charms: The year in Ti
[Step 022] user:contrarian_chaos loss: 0.894 grad: 4.696 pred: 2.561 reward:  7.21 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | theverge.com | Analytical Deep Dive | Samsung’s offering up to $900 of trade-in cred
[Step 023] user:contrarian_chaos loss: 3.777 grad:12.881 pred: 2.621 reward: 10.00 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | The AI-Driven VC: A New Era In Investing - For
[Step 024] user:contrarian_chaos loss: 5.064 grad:16.986 pred: 2.668 reward: 10.00 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | autotrader.ca | Analytical Deep Dive | Canadian-Built 2022 Honda Civic Debuts with Re
[Step 025] user:contrarian_chaos loss: 1.102 grad: 4.370 pred: 2.689 reward:  7.75 eps:0.23 exploit regret:    - hn:0.786 hc:0.94 | source_the_business_times | Analytical Deep Dive | Ten restaurants drop out of Michelin guide; si
[Step 026] user:contrarian_chaos loss: 1.884 grad: 7.404 pred: 2.704 reward:  7.81 eps:0.23 exploit regret:    - hn:0.787 hc:0.94 | source_digital_camera_world | Analytical Deep Dive | Both AI and crappy retro cameras are trending,
[Step 027] user:contrarian_chaos loss: 4.328 grad:15.110 pred: 2.769 reward: 10.00 eps:0.23 explore regret:    - hn:0.794 hc:0.94 | source_geekwire | Analytical Deep Dive | Former oilfield engineers launch climate start
[Step 028] user:contrarian_chaos loss: 0.602 grad: 4.170 pred: 2.774 reward:  7.67 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | How to start a successful side hustle while ke
[Step 029] user:contrarian_chaos loss: 0.916 grad: 3.835 pred: 2.835 reward:  7.90 eps:0.23 exploit regret:    - hn:0.800 hc:0.94 | source_architectural_digest | Analytical Deep Dive | Kitchen Trends 2025: The Big Ideas Ruling the 
[Step 030] user:contrarian_chaos loss: 0.846 grad: 3.592 pred: 2.887 reward:  7.65 eps:0.23 exploit regret: 2.35 hn:0.804 hc:0.95 | source_it_pro | Analytical Deep Dive | Rackspace just launched a new private cloud se
[Step 031] user:contrarian_chaos loss: 0.721 grad: 3.110 pred: 2.989 reward:  7.65 eps:0.23 explore regret:    - hn:0.814 hc:0.95 | source_motortrend | Analytical Deep Dive | 2026 Subaru Impreza Review: Expert Insights, P
[Step 032] user:contrarian_chaos loss: 3.170 grad:16.480 pred: 3.011 reward:  7.14 eps:0.23 exploit regret:    - hn:0.815 hc:0.95 | macrumors.com | Analytical Deep Dive | Apple Releases watchOS 26.3
[Step 033] user:contrarian_chaos loss: 7.251 grad:30.653 pred: 3.102 reward: 10.00 eps:0.23 exploit regret:    - hn:0.822 hc:0.96 | source_retro_dodo | Analytical Deep Dive | 20 Best Retro Handhelds Of 2025 [All Reviewed]
[Step 034] user:contrarian_chaos loss:11.489 grad:39.527 pred: 3.120 reward: 10.00 eps:0.22 exploit regret:    - hn:0.824 hc:0.96 | source_3d_printing_industry | Analytical Deep Dive | Slicelab spearheads concrete furniture using 3
[Step 035] user:contrarian_chaos loss: 0.603 grad: 2.213 pred: 3.117 reward:  7.40 eps:0.22 exploit regret:    - hn:0.823 hc:0.96 | source_vogue | Analytical Deep Dive | The Best Running Shoes for Every Runner, From 
[Step 036] user:contrarian_chaos loss: 0.625 grad: 2.392 pred: 3.092 reward:  7.96 eps:0.22 exploit regret:    - hn:0.821 hc:0.96 | source_harper_s_bazaar | Analytical Deep Dive | The Definitive Guide to Buying Editor-Approved
[Step 037] user:contrarian_chaos loss: 0.629 grad: 2.309 pred: 3.095 reward:  7.62 eps:0.22 explore regret:    - hn:0.822 hc:0.96 | source_fedscoop | Analytical Deep Dive | Bill ordering DHS to explore AI for border sec
[Step 038] user:contrarian_chaos loss: 2.347 grad:14.413 pred: 3.123 reward:  7.85 eps:0.22 exploit regret:    - hn:0.824 hc:0.96 | source_united_nations_development_programme | Analytical Deep Dive | Guide to Digital Participation Platforms 2025 
[Step 039] user:contrarian_chaos loss: 0.597 grad: 2.086 pred: 3.126 reward:  7.67 eps:0.22 exploit regret:    - hn:0.824 hc:0.96 | tmz.com | Analytical Deep Dive | Nicole Curtis Apologizes For Using N-Word, Rea
[Step 040] user:contrarian_chaos loss: 0.548 grad: 1.734 pred: 3.168 reward:  7.97 eps:0.22 exploit regret: 2.03 hn:0.827 hc:0.96 | source_k_12_dive | Analytical Deep Dive | Teachers: Student monitoring tools more often 
[Step 041] user:contrarian_chaos loss:10.971 grad:41.698 pred: 3.175 reward: 10.00 eps:0.22 exploit regret:    - hn:0.828 hc:0.96 | source_cepr | Analytical Deep Dive | Roaring tariffs: The global impact of the 2025
[Step 042] user:contrarian_chaos loss: 2.559 grad:16.411 pred: 3.175 reward:  7.97 eps:0.22 exploit regret:    - hn:0.828 hc:0.96 | source_grocery_dive | Analytical Deep Dive | Unilever enters the organic snack space with m
[Step 043] user:contrarian_chaos loss: 7.194 grad:30.330 pred: 3.154 reward: 10.00 eps:0.22 exploit regret:    - hn:0.826 hc:0.96 | source_india_today | Analytical Deep Dive | Isro's PSLV-C62 loses control after thundering
[Step 044] user:contrarian_chaos loss: 7.971 grad:28.943 pred: 3.157 reward: 10.00 eps:0.22 exploit regret:    - hn:0.826 hc:0.96 | source_cnbc | Analytical Deep Dive | Use the 10% rule to figure out how much money 
[Step 045] user:contrarian_chaos loss: 0.605 grad: 2.088 pred: 3.136 reward:  7.40 eps:0.22 exploit regret:    - hn:0.825 hc:0.96 | source_hackernoon | Analytical Deep Dive | Steal My Prompt for Automating Meeting Minutes
[Step 046] user:contrarian_chaos loss: 0.630 grad: 2.351 pred: 3.111 reward:  7.86 eps:0.22 exploit regret:    - hn:0.823 hc:0.96 | source_bustler_architecture | Analytical Deep Dive | Small spaces, big living: results of the Tiny 
[Step 047] user:contrarian_chaos loss: 4.678 grad:21.665 pred: 3.102 reward: 10.00 eps:0.21 exploit regret:    - hn:0.822 hc:0.96 | source_vanderbilt_university | Analytical Deep Dive | Reflections on Bridge Builders in a Polarized 
[Step 048] user:contrarian_chaos loss: 2.073 grad:10.734 pred: 3.044 reward:  7.37 eps:0.21 exploit regret:    - hn:0.818 hc:0.95 | source_news9live | Analytical Deep Dive | Deloitte India to launch GenW.AI, a made in In
[Step 049] user:contrarian_chaos loss: 0.761 grad: 3.036 pred: 3.036 reward:  7.60 eps:0.21 explore regret:    - hn:0.817 hc:0.95 | source_digital_camera_world | Analytical Deep Dive | The best waterproof camera in 2026: compact un
[Step 050] user:contrarian_chaos loss: 0.842 grad: 3.410 pred: 2.993 reward:  7.66 eps:0.21 explore regret: 2.34 hn:0.814 hc:0.95 | source_energy_source_distribution | Analytical Deep Dive | Hitachi Energy and Transpower strengthen New Z
  └─ checkpoint step=50 rolling_reward_50=8.41 mean_regret_so_far=1.91
[Step 051] user:contrarian_chaos loss: 6.681 grad:23.723 pred: 3.004 reward: 10.00 eps:0.21 exploit regret:    - hn:0.815 hc:0.95 | source_reuters | Analytical Deep Dive | Nvidia buys AI software provider SchedMD to ex
[Step 052] user:contrarian_chaos loss: 0.829 grad: 3.325 pred: 3.009 reward:  7.36 eps:0.21 explore regret:    - hn:0.815 hc:0.95 | vocal.media | Analytical Deep Dive | Is Blind Frog Ranch Real? A Deep Dive into the
[Step 053] user:contrarian_chaos loss: 3.133 grad:12.739 pred: 2.992 reward:  7.09 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_vogue | Analytical Deep Dive | Four things brands should consider when develo
[Step 054] user:contrarian_chaos loss: 0.926 grad: 4.022 pred: 2.964 reward:  7.35 eps:0.21 exploit regret:    - hn:0.812 hc:0.95 | source_nbc_news | Analytical Deep Dive | Bird flu samples show mutations that may make 
[Step 055] user:contrarian_chaos loss: 3.894 grad:16.448 pred: 3.020 reward: 10.00 eps:0.21 exploit regret:    - hn:0.816 hc:0.95 | source_infoworld | Analytical Deep Dive | Get poetic in prompts and AI will break its gu
[Step 056] user:contrarian_chaos loss: 5.957 grad:21.252 pred: 2.998 reward: 10.00 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_mit_sloan | Analytical Deep Dive | Why sustainable business needs better ESG rati
[Step 057] user:contrarian_chaos loss: 3.621 grad:14.310 pred: 2.990 reward: 10.00 eps:0.21 exploit regret:    - hn:0.814 hc:0.95 | source_the_cap_times | Analytical Deep Dive | Celery, eggplant, kebabs: Madison food trend p
[Step 058] user:contrarian_chaos loss: 2.012 grad: 7.569 pred: 2.947 reward:  7.85 eps:0.21 explore regret:    - hn:0.810 hc:0.95 | source_fundsforngos | Analytical Deep Dive | How to Secure Grants for Youth-Led Democratic 
[Step 059] user:contrarian_chaos loss: 5.150 grad:16.331 pred: 2.942 reward: 10.00 eps:0.21 exploit regret:    - hn:0.810 hc:0.95 | source_disrupt_africa | Analytical Deep Dive | How Uganda’s Kyuka is addressing plastic pollu
[Step 060] user:contrarian_chaos loss: 3.237 grad:11.256 pred: 2.936 reward: 10.00 eps:0.21 exploit regret: 0.00 hn:0.809 hc:0.95 | source_grocery_dive | Analytical Deep Dive | A juicy trend for fruits and veggies - Grocery
[Step 061] user:contrarian_chaos loss: 1.187 grad: 4.511 pred: 2.923 reward:  7.49 eps:0.20 explore regret:    - hn:0.808 hc:0.95 | source_cdotrends | Analytical Deep Dive | The Quantum Paradox: Why Big Banks Can’t Do Wh
[Step 062] user:contrarian_chaos loss: 7.855 grad:17.574 pred: 2.911 reward: -4.61 eps:0.20 explore regret:    - hn:0.807 hc:0.95 | bbc.com | Dystopian Warning | Netflix and Paramount are battling for Warner 
[Step 063] user:contrarian_chaos loss: 2.147 grad: 6.303 pred: 2.887 reward:  7.68 eps:0.20 exploit regret:    - hn:0.805 hc:0.95 | source_cna | Analytical Deep Dive | China to impose tariffs of 34% on all US goods
[Step 064] user:contrarian_chaos loss: 1.440 grad: 4.986 pred: 2.865 reward:  7.35 eps:0.20 explore regret:    - hn:0.803 hc:0.95 | source_los_angeles_times | Analytical Deep Dive | The 50 best true-crime documentaries you can s
[Step 065] user:contrarian_chaos loss: 2.934 grad: 8.803 pred: 2.894 reward: 10.00 eps:0.20 exploit regret:    - hn:0.805 hc:0.95 | source_the_quantum_insider | Analytical Deep Dive | QUDORA Closes a Strategic Partnership with Ken
[Step 066] user:contrarian_chaos loss: 2.929 grad: 8.809 pred: 2.902 reward: 10.00 eps:0.20 exploit regret:    - hn:0.806 hc:0.95 | source_uk_fundraising | Analytical Deep Dive | Future philanthropy: the tech, trends and tale
[Step 067] user:contrarian_chaos loss: 2.876 grad: 7.871 pred: 2.896 reward:  7.14 eps:0.20 exploit regret:    - hn:0.806 hc:0.95 | source_engineering_news | Analytical Deep Dive | Aviation and tourist sector entities urge Stat
[Step 068] user:contrarian_chaos loss: 2.837 grad: 8.147 pred: 2.896 reward: 10.00 eps:0.20 exploit regret:    - hn:0.806 hc:0.95 | source_mamavation | Analytical Deep Dive | Wear Pact Organic Leggings PFAS "Forever Chemi
[Step 069] user:contrarian_chaos loss: 1.428 grad: 5.118 pred: 2.922 reward:  7.94 eps:0.20 exploit regret:    - hn:0.808 hc:0.95 | source_the_chronicle_journal | Analytical Deep Dive | The HOKA-UGG Nexus: A Deep Dive into Deckers O
[Step 070] user:contrarian_chaos loss: 2.182 grad: 6.704 pred: 2.949 reward:  7.27 eps:0.20 explore regret: 2.73 hn:0.810 hc:0.95 | 9to5mac.com | Analytical Deep Dive | DOJ faces investigation over removal of ICE-tr
[Step 071] user:contrarian_chaos loss: 5.640 grad:14.102 pred: 2.921 reward: 10.00 eps:0.20 exploit regret:    - hn:0.808 hc:0.95 | source_digital_camera_world | Analytical Deep Dive | When did the retro camera trend start? (Spoile
[Step 072] user:contrarian_chaos loss: 4.098 grad:10.694 pred: 2.928 reward: 10.00 eps:0.20 exploit regret:    - hn:0.808 hc:0.95 | source_w_magazine | Analytical Deep Dive | Queen Letizia Does Her Librarian Chic Best Whi
[Step 073] user:contrarian_chaos loss: 1.621 grad: 5.157 pred: 2.891 reward:  7.35 eps:0.20 exploit regret:    - hn:0.805 hc:0.95 | source_lse_blogs | Analytical Deep Dive | Ukraine’s defence industry is Europe’s best we
[Step 074] user:contrarian_chaos loss: 1.555 grad: 5.181 pred: 2.932 reward:  7.78 eps:0.19 exploit regret:    - hn:0.809 hc:0.95 | source_cnbc | Analytical Deep Dive | Your credit utilization rate is a big part of 
[Step 075] user:contrarian_chaos loss: 8.607 grad:20.201 pred: 3.047 reward: -4.84 eps:0.19 explore regret:    - hn:0.818 hc:0.95 | source_heritagedaily | Analytical Deep Dive | Archaeologists reveal hundreds of ancient monu
[Step 076] user:contrarian_chaos loss: 1.218 grad: 4.857 pred: 3.062 reward:  7.52 eps:0.19 exploit regret:    - hn:0.819 hc:0.96 | source_the_african_exponent | Analytical Deep Dive | Top 10 Most Digitally Transformed Public Secto
[Step 077] user:contrarian_chaos loss: 1.234 grad: 4.779 pred: 3.052 reward:  7.22 eps:0.19 exploit regret:    - hn:0.819 hc:0.95 | source_runner_s_world | Analytical Deep Dive | The best Saucony running shoes for training an
[Step 078] user:contrarian_chaos loss: 0.769 grad: 4.679 pred: 3.073 reward:  7.42 eps:0.19 explore regret:    - hn:0.000 hc:0.00 | source_the_hacker_news | Analytical Deep Dive | How to Use Tines's SOC Automation Capability M
[Step 079] user:contrarian_chaos loss: 3.944 grad:15.452 pred: 3.142 reward: 10.00 eps:0.19 explore regret:    - hn:0.825 hc:0.96 | source_the_quantum_insider | Analytical Deep Dive | China Opens Its Superconducting Quantum Comput
[Step 080] user:contrarian_chaos loss: 0.940 grad: 4.187 pred: 3.168 reward:  7.97 eps:0.19 exploit regret: 2.03 hn:0.827 hc:0.96 | source_newsbytes | Analytical Deep Dive | Deepfake porn scandal: 'Squid Game's Park Gyu-
[Step 081] user:contrarian_chaos loss: 2.465 grad:12.711 pred: 3.234 reward:  7.99 eps:0.19 exploit regret:    - hn:0.832 hc:0.96 | source_statistique_canada | Analytical Deep Dive | Canadian employment trends in the era of gener
[Step 082] user:contrarian_chaos loss: 2.509 grad:16.190 pred: 3.212 reward: 10.00 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_the_times | Analytical Deep Dive | Virgin Orbit: how the UK’s first space launch 
[Step 083] user:contrarian_chaos loss: 2.143 grad:14.121 pred: 3.255 reward:  7.44 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | pcgamer.com | Analytical Deep Dive | Black Ops 7's new best mode is a returning cla
[Step 084] user:contrarian_chaos loss: 2.452 grad:13.220 pred: 3.238 reward:  7.81 eps:0.19 exploit regret:    - hn:0.832 hc:0.96 | 9to5mac.com | Analytical Deep Dive | Jony Ive’s AI hardware is delayed to 2027 and 
[Step 085] user:contrarian_chaos loss: 2.723 grad:18.820 pred: 3.231 reward: 10.00 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_frontex | Analytical Deep Dive | Frontex looks at new border surveillance techn
[Step 086] user:contrarian_chaos loss: 7.636 grad:26.002 pred: 3.240 reward: 10.00 eps:0.19 exploit regret:    - hn:0.832 hc:0.96 | source_michelin_guide | Analytical Deep Dive | 7 Big Food Trends of 2026, According to Our MI
[Step 087] user:contrarian_chaos loss: 2.352 grad:14.116 pred: 3.239 reward:  7.77 eps:0.18 exploit regret:    - hn:0.832 hc:0.96 | source_the_independent | Analytical Deep Dive | Best Nike running shoes for 2025/2026, reviewe
[Step 088] user:contrarian_chaos loss: 0.714 grad: 3.298 pred: 3.233 reward:  7.22 eps:0.18 exploit regret:    - hn:0.832 hc:0.96 | source_nextgov_fcw | Analytical Deep Dive | Tech bills of the week: Restricting biometric 
[Step 089] user:contrarian_chaos loss: 0.742 grad: 3.538 pred: 3.209 reward:  7.48 eps:0.18 explore regret:    - hn:0.830 hc:0.96 | source_shopify | Analytical Deep Dive | The Top 7 Online Shopping Categories by Revenu
[Step 090] user:contrarian_chaos loss: 3.069 grad:17.112 pred: 3.173 reward: 10.00 eps:0.18 exploit regret: 0.00 hn:0.828 hc:0.96 | source_sherwood_news | Analytical Deep Dive | Apple and Nvidia are showing how China failure
[Step 091] user:contrarian_chaos loss: 3.942 grad:17.155 pred: 3.178 reward:  7.15 eps:0.18 explore regret:    - hn:0.828 hc:0.96 | source_mainebiz | Analytical Deep Dive | Thomaston maker of scallop-farm gear sweeps al
[Step 092] user:contrarian_chaos loss: 0.796 grad: 3.811 pred: 3.172 reward:  7.69 eps:0.18 explore regret:    - hn:0.828 hc:0.96 | source_e_amp_e_news_by_politico | Analytical Deep Dive | Over 20 EU politicians test positive for forev
[Step 093] user:contrarian_chaos loss: 2.585 grad:15.818 pred: 3.144 reward: 10.00 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_the_globe_and_mail | Analytical Deep Dive | Microchip (MCHP) Q3 2026 Earnings Call Transcr
[Step 094] user:contrarian_chaos loss: 0.391 grad: 3.852 pred: 3.171 reward:  7.52 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_zecar | Analytical Deep Dive | 2026 Nissan Ariya Debuts Minimalist Design & G
[Step 095] user:contrarian_chaos loss: 6.573 grad:22.253 pred: 3.162 reward: 10.00 eps:0.18 exploit regret:    - hn:0.827 hc:0.96 | source_mothership | Analytical Deep Dive | Cancelling & cancel culture: Are they relevant
[Step 096] user:contrarian_chaos loss: 4.077 grad:22.785 pred: 3.186 reward: 10.00 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | Crypto bulls hail Facebook's reported move int
[Step 097] user:contrarian_chaos loss: 6.350 grad:21.561 pred: 3.159 reward: 10.00 eps:0.18 exploit regret:    - hn:0.827 hc:0.96 | source_chicago_tribune | Analytical Deep Dive | Doctors: How likely is it that bird flu will s
[Step 098] user:contrarian_chaos loss: 0.916 grad: 4.147 pred: 3.138 reward:  7.34 eps:0.18 exploit regret:    - hn:0.825 hc:0.96 | simplywall.st | Analytical Deep Dive | Is ZOZO (TSE:3092) Turning Modest EPS Gains In
[Step 099] user:contrarian_chaos loss: 8.031 grad:24.673 pred: 3.113 reward: 10.00 eps:0.18 explore regret:    - hn:0.823 hc:0.96 | wired.com | Analytical Deep Dive | 8 Best Space Heaters (2026): Tested, Measured,
[Step 100] user:contrarian_chaos loss: 2.893 grad:14.346 pred: 3.134 reward: 10.00 eps:0.17 explore regret: 0.00 hn:0.825 hc:0.96 | source_adweek | Analytical Deep Dive | How to Create a CGI Influencer from a Legal Pe
  └─ checkpoint step=100 rolling_reward_50=8.11 mean_regret_so_far=1.43
[Step 101] user:contrarian_chaos loss: 4.263 grad:13.716 pred: 3.072 reward:  5.61 eps:0.17 exploit regret:    - hn:0.820 hc:0.96 | source_iot_world_today | Analytical Deep Dive | Quantum Computing's Commercial Future: Q&A - I
[Step 102] user:contrarian_chaos loss: 4.073 grad:12.095 pred: 3.036 reward:  5.43 eps:0.17 exploit regret:    - hn:0.817 hc:0.95 | source_forbes | Analytical Deep Dive | How Fintech Quietly Reshaped Venture Capital I
[Step 103] user:contrarian_chaos loss: 8.485 grad:18.513 pred: 3.001 reward: -5.10 eps:0.17 exploit regret:    - hn:0.815 hc:0.95 | source_space_in_africa | Analytical Deep Dive | Airtel Africa Partners with SpaceX to Bring Sa
[Step 104] user:contrarian_chaos loss: 3.187 grad: 7.839 pred: 2.941 reward:  4.55 eps:0.17 exploit regret:    - hn:0.810 hc:0.95 | source_techcrunch | Analytical Deep Dive | QuestDB snares $12M Series A with hosted versi
[Step 105] user:contrarian_chaos loss: 3.592 grad: 8.938 pred: 2.933 reward:  6.64 eps:0.17 exploit regret:    - hn:0.809 hc:0.95 | transitcenter.org | Analytical Deep Dive | From Sorry to Superb: Everything You Need to K
[Step 106] user:contrarian_chaos loss: 4.264 grad: 7.545 pred: 2.801 reward: 10.00 eps:0.17 exploit regret:    - hn:0.797 hc:0.94 | masala.com | Analytical Deep Dive | Squid Game 2 actress Park Gyu-young's deepfake
[Step 107] user:contrarian_chaos loss: 6.484 grad: 9.360 pred: 2.759 reward: -5.24 eps:0.17 exploit regret:    - hn:0.793 hc:0.94 | army.mil | Dystopian Warning | Commentary | Army Logistics Survivability Agai
[Step 108] user:contrarian_chaos loss: 6.106 grad: 7.431 pred: 2.690 reward: -5.26 eps:0.17 exploit regret:    - hn:0.786 hc:0.94 | zdnet.com | Sarcastic Takedown | Your Android phone's most powerful security fe
[Step 109] user:contrarian_chaos loss: 5.706 grad: 5.933 pred: 2.635 reward: -4.95 eps:0.17 exploit regret:    - hn:0.780 hc:0.93 | source_techradar | Analytical Deep Dive | Good day for Kirby Air Riders fans, all-new co
[Step 110] user:contrarian_chaos loss: 5.550 grad: 5.324 pred: 2.598 reward: -4.96 eps:0.17 exploit regret:14.96 hn:0.776 hc:0.93 | source_tiktok_newsroom | Analytical Deep Dive | Introducing On Trend: the internet's most ente
[Step 111] user:contrarian_chaos loss: 5.511 grad: 4.318 pred: 2.555 reward: -5.32 eps:0.35 exploit regret:    - hn:0.770 hc:0.93 | source_nvidia_newsroom | Analytical Deep Dive | NVIDIA Blackwell GeForce RTX 50 Series Opens N
[Step 112] user:contrarian_chaos loss: 5.177 grad: 3.109 pred: 2.497 reward: -4.94 eps:0.35 explore regret:    - hn:0.764 hc:0.92 | source_the_economic_times | Sarcastic Takedown | What is 'revenge quitting'? Is this rising tre
[Step 113] user:contrarian_chaos loss: 3.990 grad: 2.270 pred: 2.459 reward: 10.00 eps:0.35 explore regret:    - hn:0.759 hc:0.92 | source_los_angeles_review_of_books | Analytical Deep Dive | Feeling Solarpunk: On Becky Chambers’s Monk an
[Step 114] user:contrarian_chaos loss: 5.118 grad: 2.451 pred: 2.444 reward: -5.22 eps:0.35 explore regret:    - hn:0.757 hc:0.92 | engadget.com | Sarcastic Takedown | Sam Bankman-Fried wants a re-trial for fraud c
[Step 115] user:contrarian_chaos loss: 3.664 grad: 2.304 pred: 2.425 reward:  6.65 eps:0.35 exploit regret:    - hn:0.755 hc:0.92 | source_ancient_origins | Dystopian Warning | LiDAR Unveils Hidden Landscape of Lost Pre-His
[Step 116] user:contrarian_chaos loss: 4.980 grad: 2.183 pred: 2.411 reward: -5.05 eps:0.16 exploit regret:    - hn:0.753 hc:0.92 | source_khaleej_times | Dystopian Warning | Dubai Police issue strong warning against vira
