🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k_anchor.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=350 | bot=gamer
[Step 024] user:gamer loss: 0.154 grad: 2.863 pred:-0.629 reward: -4.70 eps:0.24 explore regret:    - hn:0.000 hc:0.00 | source_devdiscourse | Hype Beast | Market Movements: Bonds Surge Amid Retail Sale
[Step 025] user:gamer loss: 9.273 grad:46.409 pred:-0.635 reward:  7.93 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_minnesota_women_s_press | Hype Beast | Minnesota Women’s Press Wins Five State Media 
[Step 026] user:gamer loss:28.336 grad:84.952 pred:-0.676 reward: 10.00 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_xinhua | Hype Beast | China's breeding breakthroughs fortify food se
[Step 027] user:gamer loss:21.329 grad:64.895 pred:-0.594 reward: 10.00 eps:0.24 explore regret:    - hn:0.000 hc:0.00 | source_cambridge_network | Hype Beast | China’s Neurotechnology breakthrough: A new er
[Step 028] user:gamer loss:24.115 grad:74.057 pred:-0.658 reward: 10.00 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_36_kr | Hype Beast | Tsinghua Team's DeepDive: A New Breakthrough i
[Step 029] user:gamer loss:10.028 grad:43.676 pred:-0.527 reward:  7.81 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_reliefweb | Hype Beast | Sudan - Key Message Update: Famine remains pos
[Step 030] user:gamer loss:15.029 grad:51.469 pred:-0.391 reward: 10.00 eps:0.24 exploit regret: 0.00 hn:0.000 hc:0.00 | source_south_china_morning_post | Hype Beast | Chinese breakthrough challenges Elon Musk’s ve
[Step 031] user:gamer loss:10.391 grad:37.390 pred:-0.242 reward: 10.00 eps:0.24 explore regret:    - hn:0.000 hc:0.00 | source_scitechdaily | Hype Beast | Quantum Breakthrough: New Study Uncovers Hidde
[Step 032] user:gamer loss: 9.503 grad:27.785 pred: 0.217 reward: 10.00 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_archdaily | Hype Beast | This Public Transit Series Celebrates Moscow's
[Step 033] user:gamer loss: 5.040 grad:17.053 pred: 0.349 reward:  7.94 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | source_yicai_global | Hype Beast | China Hails Breakthrough in Mind Control of Sm
[Step 034] user:gamer loss: 6.414 grad:14.083 pred: 0.859 reward: 10.00 eps:0.24 exploit regret:    - hn:0.421 hc:0.70 | source_thekanal | Hype Beast | Workplace Harassment Allegations Surface After
[Step 035] user:gamer loss: 6.604 grad:16.249 pred: 0.772 reward: 10.00 eps:0.23 exploit regret:    - hn:0.400 hc:0.68 | zerohedge.blogspot.com | Hype Beast | Daily Highlights: 7.27.09
[Step 036] user:gamer loss: 3.142 grad: 5.521 pred: 1.199 reward:  7.00 eps:0.23 exploit regret:    - hn:0.515 hc:0.77 | source_bnn_bloomberg | Hype Beast | Investor Outlook: Ottawa boosts quantum comput
[Step 037] user:gamer loss: 3.675 grad: 4.554 pred: 1.489 reward:  7.34 eps:0.23 explore regret:    - hn:0.587 hc:0.82 | source_tribune_india | Hype Beast | GIBC signs strategic MoU with Maharashtra to b
[Step 038] user:gamer loss: 4.354 grad: 4.381 pred: 1.700 reward: 10.00 eps:0.23 exploit regret:    - hn:0.632 hc:0.85 | source_the_news_international | Hype Beast | The Majorana 1 Chip: a breakthrough in quantum
[Step 039] user:gamer loss: 3.722 grad: 3.384 pred: 1.816 reward:  7.76 eps:0.23 exploit regret:    - hn:0.655 hc:0.86 | source_construction_property_news | Hype Beast | China Unveils Breakthrough Salt-Tolerant Rice 
[Step 040] user:gamer loss: 4.723 grad: 4.547 pred: 1.841 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.660 hc:0.86 | source_quantum_zeitgeist | Hype Beast | Three-Site Kitaev Chain Boosts Majorana Zero M
[Step 041] user:gamer loss: 4.143 grad: 2.826 pred: 2.009 reward: 10.00 eps:0.23 exploit regret:    - hn:0.691 hc:0.88 | source_engineering_news_record | Hype Beast | Gannett Fleming Buys TranSystems in $1.3B Tran
[Step 042] user:gamer loss: 4.170 grad: 2.435 pred: 2.111 reward: 10.00 eps:0.23 exploit regret:    - hn:0.708 hc:0.89 | fiercebiotech.com | Hype Beast | <a href="https://www.fiercebiotech.com/biotech
[Step 043] user:gamer loss: 3.376 grad: 3.074 pred: 2.162 reward:  6.82 eps:0.23 exploit regret:    - hn:0.715 hc:0.90 | source_ee_times_asia | Hype Beast | Microsoft Unveils Quantum Computing Breakthrou
[Step 044] user:gamer loss: 3.568 grad: 3.552 pred: 2.202 reward:  7.69 eps:0.23 exploit regret:    - hn:0.722 hc:0.90 | gamespot.com | Hype Beast | StarCraft Shooter Reportedly In Works At Arc R
[Step 045] user:gamer loss: 4.313 grad: 2.997 pred: 2.175 reward: 10.00 eps:0.23 exploit regret:    - hn:0.718 hc:0.90 | source_new_era_namibia | Hype Beast | King Shuumbwa on agricultural breakthrough …ur
[Step 046] user:gamer loss: 3.637 grad: 3.674 pred: 2.241 reward:  7.77 eps:0.23 exploit regret:    - hn:0.728 hc:0.90 | source_nasa_applied_sciences_gov | Hype Beast | NASA Harvest Collaboration Expands Breakthroug
[Step 047] user:gamer loss: 4.002 grad: 4.192 pred: 2.180 reward: 10.00 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_ani_news | Hype Beast | GIBC signs strategic MoU with Maharashtra to b
[Step 048] user:gamer loss: 3.041 grad: 3.564 pred: 2.192 reward:  7.46 eps:0.23 exploit regret:    - hn:0.721 hc:0.90 | source_yahoo_finance | Hype Beast | Super Bowl Ads Hit Record High: $10 Million fo
[Step 049] user:gamer loss: 2.787 grad: 4.004 pred: 2.173 reward:  6.67 eps:0.23 explore regret:    - hn:0.718 hc:0.90 | source_nzbusiness_magazine | Hype Beast | A small shift in spending could deliver an $11
[Step 050] user:gamer loss: 4.536 grad: 5.785 pred: 2.165 reward: 10.00 eps:0.23 explore regret: 0.00 hn:0.718 hc:0.90 | source_discoverairdrie | Hype Beast | Tariff breakthrough restores optimism for puls
  └─ checkpoint step=50 rolling_reward_50=4.12 mean_regret_so_far=6.04
[Step 051] user:gamer loss: 2.467 grad: 4.688 pred: 2.176 reward:  7.67 eps:0.23 exploit regret:    - hn:0.719 hc:0.90 | source_gamesradar | Clickbait Shocker | Abxylute just revealed a $70 Android handheld 
[Step 052] user:gamer loss: 2.229 grad: 5.198 pred: 2.199 reward:  6.79 eps:0.23 explore regret:    - hn:0.722 hc:0.90 | source_national_institute_of_standards_and_technology_gov | Hype Beast | NIST and Stanford Launch Long-Term Measurement
[Step 053] user:gamer loss: 1.638 grad: 5.363 pred: 2.251 reward:  7.48 eps:0.23 exploit regret:    - hn:0.723 hc:0.90 | phys.org | Hype Beast | Byzantine solar eclipse records illuminate obs
[Step 054] user:gamer loss: 5.488 grad:16.645 pred: 2.361 reward: 10.00 eps:0.23 exploit regret:    - hn:0.744 hc:0.91 | source_carnegie_mellon_university | Hype Beast | Breakthrough Approach Enables Bidirectional BC
[Step 055] user:gamer loss: 1.213 grad: 6.001 pred: 2.468 reward:  7.91 eps:0.23 exploit regret:    - hn:0.744 hc:0.91 | source_quantum_zeitgeist | Hype Beast | Quantum Computing’s Dual Approach Boosts Stabi
[Step 056] user:gamer loss: 7.964 grad:27.400 pred: 2.603 reward: 10.00 eps:0.23 exploit regret:    - hn:0.773 hc:0.93 | destructoid.com | Hype Beast | All romanceable characters in Starsand Island
[Step 057] user:gamer loss: 0.903 grad: 6.011 pred: 2.750 reward:  7.40 eps:0.23 exploit regret:    - hn:0.772 hc:0.93 | source_bloomsbury_intelligence_and_security_institute_bisi | Hype Beast | Quantum Computing Breakthroughs: A Widening Ge
[Step 058] user:gamer loss: 2.194 grad:15.590 pred: 2.840 reward:  7.53 eps:0.23 explore regret:    - hn:0.795 hc:0.94 | source_tech_funding_news | Hype Beast | German startup Everphone dials €270M funding t
[Step 059] user:gamer loss: 0.787 grad: 4.996 pred: 2.868 reward:  7.88 eps:0.22 exploit regret:    - hn:0.785 hc:0.94 | source_tradingview | Hype Beast | Oracle Unveils AI Agents for Fusion Apps: Will
[Step 060] user:gamer loss: 2.543 grad:23.564 pred: 3.043 reward:  7.11 eps:0.22 exploit regret: 2.89 hn:0.815 hc:0.95 | source_harvard_gazette | Hype Beast | Why new qubit may give ultrafast quantum compu
[Step 061] user:gamer loss: 2.422 grad:18.748 pred: 3.024 reward:  7.39 eps:0.22 explore regret:    - hn:0.804 hc:0.95 | source_popular_mechanics | Hype Beast | This Chip Could Be the Massive Breakthrough We
[Step 062] user:gamer loss: 2.353 grad:18.359 pred: 3.029 reward:  7.99 eps:0.22 explore regret:    - hn:0.818 hc:0.95 | source_stanford_report | Hype Beast | Stanford-NIST collaboration aims to give the b
[Step 063] user:gamer loss: 0.618 grad: 3.372 pred: 3.067 reward:  7.57 eps:0.22 exploit regret:    - hn:0.810 hc:0.95 | source_usa_today | Hype Beast | Is longevity the new gut health? Discover mito
[Step 064] user:gamer loss: 9.809 grad:39.854 pred: 3.094 reward: 10.00 eps:0.22 explore regret:    - hn:0.812 hc:0.95 | source_the_news_international | Hype Beast | China brain implant breakthrough: Paralysed ma
[Step 065] user:gamer loss: 0.615 grad: 3.189 pred: 3.089 reward:  7.30 eps:0.22 exploit regret:    - hn:0.815 hc:0.95 | source_tehran_times | Hype Beast | SATBA advances construction of 1,000 solar pow
[Step 066] user:gamer loss: 3.447 grad:27.395 pred: 3.115 reward:  6.83 eps:0.22 exploit regret:    - hn:0.818 hc:0.95 | hypebeast.com | Hype Beast | Jack Harlow Officially Announces New Album 'Mo
[Step 067] user:gamer loss: 0.617 grad: 3.259 pred: 3.074 reward:  7.61 eps:0.22 exploit regret:    - hn:0.816 hc:0.95 | source_yahoo | Hype Beast | Researchers make major breakthrough that could
[Step 068] user:gamer loss: 0.572 grad: 2.835 pred: 3.117 reward:  7.76 eps:0.22 exploit regret:    - hn:0.812 hc:0.95 | da.gov.ph | Hype Beast | Biotech breakthroughs in agri deemed vital for
[Step 069] user:gamer loss: 8.967 grad:38.512 pred: 3.152 reward: 10.00 eps:0.22 exploit regret:    - hn:0.823 hc:0.96 | etenergyworld.com | Hype Beast | Mumbai's 1000MW renewable energy boost: Kudus-
[Step 070] user:gamer loss:10.136 grad:43.814 pred: 3.116 reward: 10.00 eps:0.22 explore regret: 0.00 hn:0.820 hc:0.96 | source_construction_news | Hype Beast | Breakthrough in HS2 mass transit procurement p
[Step 071] user:gamer loss: 0.571 grad: 2.395 pred: 3.138 reward:  7.61 eps:0.22 exploit regret:    - hn:0.821 hc:0.96 | source_adda247 | Hype Beast | Microsoft’s Majorana 1: Quantum Computing Brea
[Step 072] user:gamer loss: 0.599 grad: 2.550 pred: 3.116 reward:  7.88 eps:0.22 exploit regret:    - hn:0.818 hc:0.95 | source_live_science | Clickbait Shocker | Images: 'Lost' New England Archaeology Sites R
[Step 073] user:gamer loss: 0.597 grad: 2.398 pred: 3.133 reward:  7.78 eps:0.22 exploit regret:    - hn:0.822 hc:0.96 | source_abc_news | Hype Beast | Groundbreaking robotic surgery, Alzheimer's bl
[Step 074] user:gamer loss: 3.229 grad:20.335 pred: 3.147 reward:  6.59 eps:0.22 exploit regret:    - hn:0.823 hc:0.96 | source_coindesk | Hype Beast | ProShares Bitcoin Futures ETF Wins ‘First Move
[Step 075] user:gamer loss: 0.680 grad: 2.788 pred: 3.109 reward:  7.90 eps:0.22 explore regret:    - hn:0.820 hc:0.96 | atlasobscura.com | Hype Beast | Inside America’s First Destination Ski Town
[Step 076] user:gamer loss: 2.844 grad:17.874 pred: 3.191 reward:  7.92 eps:0.22 exploit regret:    - hn:0.824 hc:0.96 | source_quantum_zeitgeist | Hype Beast | Microsoft Quantum Computing Breakthrough Faces
[Step 077] user:gamer loss: 3.126 grad:19.073 pred: 3.168 reward:  6.58 eps:0.22 exploit regret:    - hn:0.827 hc:0.96 | source_outside_magazine | Hype Beast | How Do Freedivers Train to Break World Records
[Step 078] user:gamer loss: 7.048 grad:27.647 pred: 3.116 reward: 10.00 eps:0.22 explore regret:    - hn:0.823 hc:0.96 | source_dallas_express | Hype Beast | Neuralink Breakthrough: ALS Patient Controls R
[Step 079] user:gamer loss:12.182 grad:31.761 pred: 3.118 reward: -5.53 eps:0.22 explore regret:    - hn:0.821 hc:0.96 | fiercebiotech.com | Analytical Deep Dive | <a href="https://www.fiercebiotech.com/biotech
[Step 080] user:gamer loss: 2.475 grad:12.258 pred: 3.058 reward:  6.91 eps:0.22 exploit regret: 3.09 hn:0.819 hc:0.96 | commondreams.org | Sarcastic Takedown | New Report Exposes MAHA’s Corrupting Influence
[Step 081] user:gamer loss: 6.947 grad:22.722 pred: 3.018 reward: 10.00 eps:0.22 exploit regret:    - hn:0.812 hc:0.95 | macrumors.com | Hype Beast | Samsung Smart Monitor M9 Hits Record Low Price
[Step 082] user:gamer loss: 4.440 grad:12.993 pred: 2.968 reward:  2.46 eps:0.21 exploit regret:    - hn:0.807 hc:0.95 | source_carnegie_endowment_for_international_peace | Dystopian Warning | Mitigating Risks from Gene Editing and Synthet
[Step 083] user:gamer loss: 3.382 grad: 9.930 pred: 2.856 reward: 10.00 eps:0.21 exploit regret:    - hn:0.799 hc:0.94 | source_nhan_dan_online | Hype Beast | Viet Nam unveils breakthroughs in post‑quantum
[Step 084] user:gamer loss: 2.339 grad: 6.098 pred: 2.790 reward:  6.66 eps:0.21 exploit regret:    - hn:0.793 hc:0.94 | source_hindustan_times | Sarcastic Takedown | Pregnant public sector banker alleges toxic wo
[Step 085] user:gamer loss: 2.614 grad: 5.792 pred: 2.752 reward:  7.46 eps:0.21 exploit regret:    - hn:0.788 hc:0.94 | dailymail.co.uk | Clickbait Shocker | US skater's incredible backwards somersault st
[Step 086] user:gamer loss: 3.918 grad: 7.037 pred: 2.689 reward: 10.00 eps:0.21 exploit regret:    - hn:0.782 hc:0.93 | source_geekwire | Hype Beast | Qualterra raises $4.5M to turn organic waste i
[Step 087] user:gamer loss: 2.148 grad: 5.186 pred: 2.667 reward:  7.69 eps:0.21 exploit regret:    - hn:0.779 hc:0.93 | gamespot.com | Clickbait Shocker | Fallout Season 2's Cameo Performer May Have Bi
[Step 088] user:gamer loss: 3.727 grad: 6.183 pred: 2.620 reward: 10.00 eps:0.21 exploit regret:    - hn:0.777 hc:0.93 | source_azoquantum | Hype Beast | Exotic Quantum Material Using Magnetism to Boo
[Step 089] user:gamer loss: 2.265 grad: 5.087 pred: 2.616 reward:  7.80 eps:0.21 explore regret:    - hn:0.775 hc:0.93 | arstechnica.com | Hype Beast | SpaceX's next-gen Super Heavy booster aces fou
[Step 090] user:gamer loss: 2.121 grad: 5.330 pred: 2.647 reward:  7.92 eps:0.21 exploit regret: 2.08 hn:0.775 hc:0.93 | rockpapershotgun.com | Clickbait Shocker | “You gotta let some of the chaos in”: Diablo 2
[Step 091] user:gamer loss: 2.655 grad: 5.591 pred: 2.633 reward:  7.85 eps:0.21 explore regret:    - hn:0.778 hc:0.93 | source_travel_and_tour_world | Hype Beast | Americans Set to Shatter Records, Spending a J
[Step 092] user:gamer loss: 2.061 grad: 5.546 pred: 2.637 reward:  6.56 eps:0.21 explore regret:    - hn:0.778 hc:0.93 | source_china_daily_global_edition | Hype Beast | Correcting the record on China's 'social credi
[Step 093] user:gamer loss: 1.660 grad: 5.205 pred: 2.643 reward:  7.97 eps:0.21 exploit regret:    - hn:0.779 hc:0.93 | 9to5mac.com | Clickbait Shocker | iPhone 18 Pro: These rumored camera upgrades c
[Step 094] user:gamer loss: 7.424 grad:15.032 pred: 2.642 reward: -4.76 eps:0.21 exploit regret:    - hn:0.778 hc:0.93 | source_the_guardian | Hype Beast | Bean breakthrough bodes well for climate chang
[Step 095] user:gamer loss: 1.299 grad: 5.521 pred: 2.656 reward:  7.66 eps:0.21 exploit regret:    - hn:0.780 hc:0.93 | source_nus_national_university_of_singapore | Hype Beast | New NUS Research Centre on Sustainable Urban F
[Step 096] user:gamer loss: 1.231 grad: 5.611 pred: 2.663 reward:  7.81 eps:0.21 exploit regret:    - hn:0.778 hc:0.93 | eurogamer.net | Clickbait Shocker | Black Myth: Zhong Kui gets a new in-engine vid
[Step 097] user:gamer loss: 1.141 grad: 5.648 pred: 2.687 reward:  7.80 eps:0.21 exploit regret:    - hn:0.782 hc:0.93 | dailymail.co.uk | Clickbait Shocker | James Van Der Beek's disease is the silent kil
[Step 098] user:gamer loss: 1.637 grad:10.406 pred: 2.738 reward:  6.74 eps:0.21 exploit regret:    - hn:0.788 hc:0.94 | source_innovation_tech_today | Clickbait Shocker | National Geographic Lost Cities Revealed With 
[Step 099] user:gamer loss: 1.620 grad:10.529 pred: 2.744 reward:  7.09 eps:0.21 explore regret:    - hn:0.790 hc:0.94 | source_sammyguru | Hype Beast | Samsung’s Wearable Breakthroughs in Heart and 
[Step 100] user:gamer loss:12.246 grad:39.227 pred: 2.773 reward: 10.00 eps:0.21 explore regret: 0.00 hn:0.792 hc:0.94 | source_european_central_bank | Hype Beast | Empowering Europe: boosting strategic autonomy
  └─ checkpoint step=100 rolling_reward_50=7.41 mean_regret_so_far=3.82
[Step 101] user:gamer loss: 0.950 grad: 6.104 pred: 2.781 reward:  7.48 eps:0.21 exploit regret:    - hn:0.790 hc:0.94 | source_bbc | Clickbait Shocker | Alleged bullying, harassment and toxic culture
[Step 102] user:gamer loss: 3.447 grad:18.149 pred: 2.790 reward:  6.63 eps:0.21 exploit regret:    - hn:0.792 hc:0.94 | gamespot.com | Dystopian Warning | Even Analysts Are Having A Hard Time Predictin
[Step 103] user:gamer loss: 0.928 grad: 6.168 pred: 2.793 reward:  7.63 eps:0.21 exploit regret:    - hn:0.792 hc:0.94 | venturebeat.com | Clickbait Shocker | The creator of Claude Code just revealed his w
[Step 104] user:gamer loss: 1.602 grad:11.832 pred: 2.790 reward:  7.18 eps:0.21 exploit regret:    - hn:0.794 hc:0.94 | source_financialcontent | Clickbait Shocker | Retail Stagnation Shocker: Flat December Sales
[Step 105] user:gamer loss: 2.992 grad:17.435 pred: 2.845 reward:  7.79 eps:0.21 exploit regret:    - hn:0.800 hc:0.94 | source_psychology_today | Hype Beast | Breakthrough AI predicts brain age, cancer, de
[Step 106] user:gamer loss: 9.266 grad:36.066 pred: 2.878 reward: 10.00 eps:0.20 exploit regret:    - hn:0.801 hc:0.95 | source_cbs_news | Sarcastic Takedown | 97% Of Americans Have Toxic 'Forever Chemicals
[Step 107] user:gamer loss: 0.859 grad: 6.607 pred: 2.861 reward:  7.25 eps:0.20 exploit regret:    - hn:0.798 hc:0.94 | eurogamer.net | Clickbait Shocker | Is a Baldur's Gate 3 TV show a good idea and d
[Step 108] user:gamer loss: 0.894 grad: 6.212 pred: 2.822 reward:  7.39 eps:0.20 exploit regret:    - hn:0.794 hc:0.94 | rockpapershotgun.com | Dystopian Warning | Scratch that, the Steam Machine is delayed aft
[Step 109] user:gamer loss: 6.809 grad:25.993 pred: 2.841 reward: 10.00 eps:0.20 exploit regret:    - hn:0.795 hc:0.94 | 9to5mac.com | Hype Beast | Apple @ Work: Platform SSO is the single most 
[Step 110] user:gamer loss: 7.719 grad:29.014 pred: 2.842 reward: 10.00 eps:0.20 exploit regret: 0.00 hn:0.795 hc:0.94 | pcgamer.com | Clickbait Shocker | Dwarf Fortress forensic specialists blame myst
[Step 111] user:gamer loss: 1.732 grad:12.376 pred: 2.830 reward:  7.03 eps:0.20 exploit regret:    - hn:0.793 hc:0.94 | source_international_consortium_of_investigative_journalists_icij | Clickbait Shocker | Apple’s Secret Offshore Island Hop Revealed By
[Step 112] user:gamer loss: 6.201 grad:23.719 pred: 2.845 reward: 10.00 eps:0.20 explore regret:    - hn:0.799 hc:0.94 | cnet.com | Clickbait Shocker | Samsung Galaxy Unpacked 2026: Launch Date Reve
[Step 113] user:gamer loss: 0.889 grad: 5.245 pred: 2.841 reward:  7.43 eps:0.20 explore regret:    - hn:0.798 hc:0.94 | source_tv_brics | Hype Beast | China unveils breakthrough in brain-computer i
[Step 114] user:gamer loss: 5.827 grad:22.593 pred: 2.855 reward: 10.00 eps:0.20 explore regret:    - hn:0.799 hc:0.94 | dailymail.co.uk | Clickbait Shocker | Sleep expert explains the benefits of being in
[Step 115] user:gamer loss: 0.932 grad: 4.833 pred: 2.832 reward:  7.53 eps:0.20 exploit regret:    - hn:0.796 hc:0.94 | source_honda_newsroom | Clickbait Shocker | All-New 11th Generation Civic Sedan Fully Reve
[Step 116] user:gamer loss: 2.528 grad: 9.972 pred: 2.812 reward:  3.18 eps:0.20 exploit regret:    - hn:0.794 hc:0.94 | source_the_well_news | Dystopian Warning | Dangerous Social Media Trends Leading to Injur
[Step 117] user:gamer loss: 4.700 grad:17.260 pred: 2.825 reward: 10.00 eps:0.20 exploit regret:    - hn:0.795 hc:0.94 | source_notebookcheck | Clickbait Shocker | New Anbernic RG477V gaming handheld launch det
[Step 118] user:gamer loss: 4.267 grad:14.653 pred: 2.795 reward: 10.00 eps:0.20 exploit regret:    - hn:0.794 hc:0.94 | eurogamer.net | Clickbait Shocker | You can expect to see more of Ron Perlman in F
[Step 119] user:gamer loss: 1.907 grad: 7.086 pred: 2.764 reward:  7.14 eps:0.20 exploit regret:    - hn:0.792 hc:0.94 | source_propublica | Hype Beast | The Secret IRS Files: Trove of Never-Before-Se
[Step 120] user:gamer loss: 1.909 grad: 7.707 pred: 2.804 reward:  6.61 eps:0.20 exploit regret: 3.39 hn:0.794 hc:0.94 | nylon.com | Clickbait Shocker | Suddenly, Everyone In Fashion Needs Prescripti
[Step 121] user:gamer loss: 2.501 grad: 7.395 pred: 2.771 reward:  7.49 eps:0.20 explore regret:    - hn:0.792 hc:0.94 | source_bitget | Hype Beast | Pantera Partner: Record Fund Deployment in 202
[Step 122] user:gamer loss: 1.357 grad: 4.659 pred: 2.775 reward:  7.27 eps:0.20 exploit regret:    - hn:0.792 hc:0.94 | theguardian.com | Clickbait Shocker | Mysterious bags of ‘hazardous’ materials appea
[Step 123] user:gamer loss: 1.340 grad: 4.683 pred: 2.783 reward:  7.46 eps:0.20 exploit regret:    - hn:0.793 hc:0.94 | source_cbc | Clickbait Shocker | Tax avoidance: Canada-Barbados tax deal loopho
